HoursRequested,HoursRequestedSVM,HoursRequestedXaxis
0.666666667,0.666666667,0
0.086956522,0.074074074,1
0.081632653,0.181818182,2
0.482625483,0.47206543,3
0.191980559,0.444144047,4
0.08817685,0.327446301,5
0.097107834,0.034620265,6
0.74537925,0.842450537,7
0.857909739,0.928054726,8
0.895422535,0.957683742,9
0.717917676,0.904267266,10
0.503660322,0.66527633,11
0.784090909,0.906279288,12
0.866300366,0.960764588,13
0.881355932,0.974576271,14
0.25,0.25,15
0.666666667,0.666666667,16
0.4,0.4,17
0.023255814,0,18
0.028985507,0,19
0.028985507,0,20
0.021276596,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0.333333333,0.333333333,26
