TimeOfDay,TimeOfDaySVM,TimeOfDayXaxis
0.175,0.035714286,0
0.147540984,0.038961039,1
0.174603175,0.063291139,2
0.083333333,0.0625,3
0.050847458,0.033898305,4
0.01754386,0.315789474,5
0.851973684,0.933739013,6
0.965769755,0.898061843,7
0.925375494,0.871708883,8
0.715291357,0.740644809,9
0.134004648,0.037916371,10
0.080164911,0.002132196,11
0.176100629,0.128939828,12
0.401709402,0.375,13
0.852480418,0.967350746,14
0.9607336,0.97002457,15
0.935715891,0.955868994,16
0.747574681,0.84850059,17
0.105085888,0.118292321,18
0.129223267,0.186386211,19
0.429394813,0.56453029,20
0.52,0.673306773,21
0.695833333,0.657258065,22
0.742616789,0.676664881,23
